id,home.rushingTDs,home.passingTDs,home.kickReturnYards,home.kickReturnTDs,home.kickReturns,home.kickingPoints,home.interceptionYards,home.interceptionTDs,home.passesIntercepted,home.fumblesRecovered,home.totalFumbles,home.tacklesForLoss,home.defensiveTDs,home.tackles,home.sacks,home.qbHurries,home.passesDeflected,home.firstDowns,home.thirdDownEff,home.fourthDownEff,home.totalYards,home.netPassingYards,home.completionAttempts,home.yardsPerPass,home.rushingYards,home.rushingAttempts,home.yardsPerRushAttempt,home.totalPenaltiesYards,home.turnovers,home.fumblesLost,home.interceptions,home.possessionTime,away.rushingTDs,away.puntReturnYards,away.puntReturnTDs,away.puntReturns,away.passingTDs,away.kickReturnYards,away.kickReturnTDs,away.kickReturns,away.interceptionYards,away.interceptionTDs,away.passesIntercepted,away.fumblesRecovered,away.totalFumbles,away.tacklesForLoss,away.defensiveTDs,away.tackles,away.sacks,away.qbHurries,away.passesDeflected,away.firstDowns,away.thirdDownEff,away.fourthDownEff,away.totalYards,away.netPassingYards,away.completionAttempts,away.yardsPerPass,away.rushingYards,away.rushingAttempts,away.yardsPerRushAttempt,away.totalPenaltiesYards,away.turnovers,away.fumblesLost,away.interceptions,away.possessionTime,home.puntReturnYards,home.puntReturnTDs,home.puntReturns,away.kickingPoints
401112228,2,1,80.0,0.0,4.0,7.0,,,,1,,5.0,0.0,30.0,1.0,2.0,2.0,21,0.15384615384615385,0,396,305,18-43,7.1,91,26,3.5,5-38,2,1,1,23:25,4.0,0.0,0.0,1.0,4.0,,,,16.0,0.0,1.0,1,,9.0,0.0,33.0,2.0,2.0,9.0,27,0.6,0.6,577,313,15-27,11.6,264,50,5.3,7-66,1,1,0,36:35,2.0,0.0,1.0,8.0
401112221,1,0,39.0,0.0,2.0,13.0,0.0,0.0,1.0,2,,10.0,0.0,32.0,4.0,6.0,5.0,23,0.5,0,430,342,30-42,8.1,88,37,2.4,4-40,2,0,2,37:53,1.0,15.0,0.0,1.0,1.0,98.0,0.0,4.0,7.0,0.0,2.0,0,,6.0,0.0,39.0,0.0,6.0,2.0,15,0.09090909090909091,0.09090909090909091,316,152,12-28,5.4,164,29,5.7,2-5,3,2,1,22:07,,,,4.0
401112261,3,1,78.0,0.0,3.0,3.0,,,,0,,6.0,0.0,31.0,3.0,3.0,2.0,17,0.3,0.6666666666666666,333,81,8-15,5.4,252,46,5.5,3-30,1,0,1,26:49,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0,,8.0,0.0,44.0,4.0,2.0,0.0,19,0.4375,0.4375,383,199,15-27,7.4,184,44,4.2,6-57,0,0,0,33:11,24.0,0.0,1.0,6.0
401112237,0,2,38.0,0.0,2.0,5.0,,,,1,,4.0,0.0,30.0,0.0,0.0,3.0,22,0.35714285714285715,0.3333333333333333,372,296,20-37,8.0,76,30,2.5,2-14,2,1,1,30:42,3.0,,,,2.0,75.0,0.0,2.0,14.0,0.0,1.0,1,,8.0,0.0,26.0,5.0,0.0,9.0,20,0.3,0.3,453,280,15-22,12.7,173,35,4.9,7-63,1,1,0,29:18,,,,8.0
401132983,3,0,28.0,0.0,2.0,3.0,,,,1,,5.0,0.0,46.0,5.0,1.0,2.0,23,0.4666666666666667,0.3333333333333333,432,232,17-34,6.8,200,37,5.4,4-41,0,0,0,28:14,1.0,1.0,0.0,1.0,3.0,,,,,,,0,,8.0,0.0,42.0,2.0,4.0,6.0,28,0.42857142857142855,0.42857142857142855,492,320,20-32,10.0,172,46,3.7,4-40,1,1,0,31:46,,,,10.0
401247297,1,5,28.0,0.0,2.0,9.0,10.0,0.0,1.0,1,,6.0,0.0,30.0,3.0,2.0,2.0,23,0.5714285714285714,1.0,430,248,20-21,11.8,182,54,3.4,3-15,1,1,0,43:28,0.0,8.0,0.0,1.0,0.0,89.0,0.0,6.0,,,,1,,7.0,1.0,52.0,2.0,0.0,0.0,8,0.2,0.2,221,87,8-22,4.0,134,24,5.6,5-60,2,1,1,15:47,0.0,0.0,1.0,1.0
401247293,4,2,14.0,0.0,2.0,10.0,,,,2,,5.0,1.0,41.0,3.0,0.0,2.0,28,0.6153846153846154,1.0,491,276,20-21,13.1,215,48,4.5,3-15,1,1,0,33:14,2.0,,,,0.0,54.0,0.0,3.0,,,,1,,6.0,0.0,45.0,3.0,0.0,1.0,16,0.4,0.4,353,143,15-19,7.5,210,36,5.8,8-90,2,2,0,26:45,23.0,0.0,2.0,5.0
401247299,0,3,65.0,0.0,4.0,9.0,23.0,0.0,1.0,2,,11.0,0.0,40.0,2.0,4.0,3.0,23,0.4117647058823529,0.5,379,319,31-44,7.3,60,38,1.6,7-62,7,5,2,28:57,4.0,12.0,0.0,2.0,1.0,94.0,0.0,3.0,32.0,0.0,2.0,5,,12.0,0.0,49.0,3.0,2.0,2.0,16,0.4,0.4,276,170,19-30,5.7,106,41,2.6,9-66,3,2,1,31:03,18.0,0.0,2.0,8.0
401247295,3,1,,,,8.0,31.0,0.0,2.0,1,,6.0,0.0,57.0,1.0,2.0,3.0,16,0.3333333333333333,0,211,170,19-36,4.7,41,26,1.6,4-36,2,1,1,19:35,2.0,,,,3.0,33.0,0.0,3.0,0.0,0.0,1.0,1,,6.0,0.0,37.0,3.0,1.0,2.0,27,0.5294117647058824,0.5294117647058824,488,238,24-35,6.8,250,52,4.8,10-100,3,1,2,40:22,21.0,0.0,1.0,5.0
401247296,0,3,33.0,0.0,2.0,6.0,,,,2,,2.0,0.0,51.0,1.0,0.0,2.0,24,0.375,1.0,386,282,31-50,5.6,104,27,3.9,3-21,2,0,2,30:11,2.0,37.0,0.0,3.0,0.0,65.0,0.0,3.0,16.0,0.0,2.0,0,,5.0,0.0,42.0,2.0,0.0,3.0,19,0.3076923076923077,0.3076923076923077,460,265,22-39,6.8,195,36,5.4,10-100,2,2,0,29:49,,,,8.0
