id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
332432653,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,21398.0,3975.0,Veterans Memorial Stadium,2653,Troy,Sun Belt,34.0,"[7, 0, 10, 14, 3]",0.91084277628118,1417.0,1415.0,5,UAB,Conference USA,31.0,"[14, 3, 14, 0, 0]",0.08915722371882,1201.0,1203.0,9.00934081652367,,
332430151,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,44597.0,3699.0,Dowdy-Ficklen Stadium,151,East Carolina,Conference USA,52.0,"[7, 14, 14, 17]",0.9046812677550042,1412.0,1448.0,295,Old Dominion,,38.0,"[3, 14, 14, 7]",0.0953187322449957,1500.0,1464.0,5.24810164323777,,
332430276,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,27148.0,3775.0,Joan C. Edwards Stadium,276,Marshall,Conference USA,52.0,"[0, 14, 21, 17]",0.9989540803759582,1391.0,1484.0,193,Miami (OH),Mid-American,14.0,"[7, 7, 0, 0]",0.0010459196240417,1275.0,1182.0,5.32309798610302,,
332430058,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,35470.0,3886.0,Raymond James Stadium,58,South Florida,American Athletic,21.0,"[7, 0, 7, 7]",0.184565554647231,,,2377,McNeese,,53.0,"[2, 31, 10, 10]",0.815434445352769,,,3.27204834242799,,
332430142,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,58038.0,3838.0,Faurot Field,142,Missouri,SEC,58.0,"[13, 17, 21, 7]",0.994388907511808,,,93,Murray State,,14.0,"[14, 0, 0, 0]",0.0056110924881921,,,3.96270140591647,,
332432032,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,30451.0,3625.0,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,62.0,"[14, 34, 14, 0]",0.9999946503186482,,,2029,Arkansas-Pine Bluff,,11.0,"[0, 0, 11, 0]",5.349681351796143e-06,,,1.3057365904992,,
332430098,2013,1,regular,2013-08-31T23:10:00.000Z,,True,False,46723.0,3810.0,Nissan Stadium,98,Western Kentucky,Sun Belt,35.0,"[7, 14, 7, 7]",0.848563784882906,1441.0,1450.0,96,Kentucky,SEC,26.0,"[3, 14, 0, 9]",0.151436215117094,1280.0,1271.0,3.16761382994114,,
332430239,2013,1,regular,2013-08-31T23:30:00.000Z,,False,False,44989.0,3724.0,Floyd Casey Stadium,239,Baylor,Big 12,69.0,"[28, 10, 28, 3]",0.999846112171128,,,2747,Wofford,,3.0,"[0, 0, 3, 0]",0.000153887828872,,,0.905545311644295,,
332430228,2013,1,regular,2013-09-01T00:00:00.000Z,,False,False,83830.0,3836.0,Memorial Stadium,228,Clemson,ACC,38.0,"[14, 7, 10, 7]",0.4578975544783904,1733.0,1735.0,61,Georgia,SEC,35.0,"[14, 7, 7, 7]",0.5421024455216096,1836.0,1834.0,5.69372555972152,,
332430251,2013,1,regular,2013-09-01T00:00:00.000Z,,False,False,99623.0,3910.0,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,56.0,"[0, 14, 21, 21]",0.8873416197527142,1619.0,1693.0,166,New Mexico State,FBS Independents,7.0,"[0, 7, 0, 0]",0.1126583802472858,1071.0,997.0,6.33846007210026,,
